title;year;rate;country;category;director
Девушка в подвале;2021;6.2;США;ужасы, триллер, драма, криминал;Элизабет Рём
Дом у озера;2006;7.8;США;фэнтези, драма, мелодрама;Алехандро Агрести
В роли Рикардо;2021;6.7;США;драма, биография;Аарон Соркин
Митчеллы против машин;2020;7.7;США, Гонконг;мультфильм, фантастика, комедия, приключения, семейный;Майкл Рианда, Джефф Роу
Искусственный разум;2001;7.9;США, Великобритания;фантастика, драма;Стивен Спилберг
Вперёд;2019;7.8;США;мультфильм, фэнтези, комедия, приключения, семейный;Дэн Скэнлон
Корпорация монстров;2001;8.1;США;мультфильм, фэнтези, комедия, приключения, семейный;Пит Доктер, Дэвид Силверман, Ли Анкрич
Перелом;2019;6.5;США;триллер, детектив;Брэд Андерсон
Мальчик в полосатой пижаме;2008;8.2;Великобритания, США;драма, военный, история;Марк Херман
Реквием по мечте;2000;8.0;США;драма;Даррен Аронофски
Быстрее пули;2022;7.2;США;боевик, триллер;Дэвид Литч
Крик;1996;7.3;США;ужасы, триллер, детектив;Уэс Крэйвен
Мулан;1998;8.1;США;мультфильм, мюзикл, фэнтези, комедия, приключения, семейный, военный;Тони Бэнкрофт, Бэрри Кук
Хроники Нарнии: Лев, колдунья и волшебный шкаф;2005;7.3;Великобритания, США;фэнтези, приключения, семейный;Эндрю Адамсон
Казино Рояль;2006;7.8;Великобритания, Чехия, США, Германия, Багамы;боевик, триллер, приключения;Мартин Кэмпбелл
Тачки;2006;7.5;США;мультфильм, комедия, приключения, семейный, спорт;Джон Лассетер, Джо Рэнфт
Параллельные матери;2021;7.1;Испания, Франция;драма, мелодрама;Педро Альмодовар
Райя и последний дракон;2021;8.1;США;мультфильм, фэнтези, боевик, драма, комедия, приключения, семейный;Дон Холл, Карлос Лопес Эстрада, Пол Бриггс
Схватка;1995;8.0;США;боевик, драма, криминал;Майкл Манн
365 дней;2020;5.1;Польша;мелодрама;Барбара Бяловас, Томаш Мандес
Пираты Карибского моря: Сундук мертвеца;2006;8.1;США;фэнтези, боевик, приключения;Гор Вербински
Брюс Всемогущий;2003;7.7;США;фэнтези, комедия, драма;Том Шэдьяк
Незнакомая дочь;2020;6.7;США, Греция;драма;Мэгги Джилленхол
Королевство полной луны;2012;7.6;США;семейный, комедия, драма, мелодрама;Уэс Андерсон
Скрежет;2022;6.0;Финляндия, Швеция;ужасы;Ханна Бергхольм
Купе номер 6;2021;6.8;Финляндия, Эстония, Россия, Германия;драма, мелодрама;Юхо Куосманен
Аферист из Tinder;2022;7.1;Великобритания;документальный, криминал;Фелисити Моррис
Кими;2022;6.1;США;триллер, драма, криминал;Стивен Содерберг
Джентльмены;2019;8.5;Великобритания, США;криминал, комедия, боевик;Гай Ричи
Нормальный только я;2021;6.5;Россия;комедия;Антон Богданов
Прочь;2017;7.1;США, Япония;ужасы, триллер, детектив;Джордан Пил
Громкое дело;2021;6.5;Нидерланды;драма, криминал, биография;Сандер Бюргер
Дюна;2021;7.7;США, Канада, Венгрия;фантастика, боевик, драма, приключения;Дени Вильнёв
Не отпускай;2019;6.5;США;триллер, детектив, фантастика, криминал;Джейкоб Аарон Эстес
Запах женщины;1992;8.4;США;драма;Мартин Брест
Истребитель демонов: Поезд «Бесконечный»;2020;7.8;Япония;аниме, мультфильм, боевик, фэнтези;Харуо Сотодзаки
Диктатор;2012;6.5;США;комедия;Ларри Чарльз
Земля кочевников;2020;7.3;США, Германия;драма;Хлоя Чжао
Доктор Лиза;2020;8.2;Россия;драма, биография;Оксана Карас
Мы — Миллеры;2013;7.3;США, Великобритания;комедия, криминал;Роусон Маршалл Тёрбер
Лига справедливости;2017;6.1;США, Канада, Великобритания;фантастика, боевик, фэнтези;Зак Снайдер
Линкольн для адвоката;2011;7.8;США;криминал, триллер, драма, детектив;Брэд Фурман
По соображениям совести;2016;8.1;Австралия, США;драма, военный, биография, история;Мэл Гибсон
Анна;2019;6.1;Франция, США, Канада, Россия;боевик, триллер;Люк Бессон
Неисправимый Рон;2021;7.6;США, Великобритания;мультфильм, фантастика, комедия, приключения, семейный;Сара Смит, Жан-Филипп Вине, Октавио Е. Родригес
Звездный путь;2009;7.7;США, Германия;фантастика, боевик, приключения;Джей Джей Абрамс
Заклятие;2013;7.4;США;ужасы, детектив;Джеймс Ван
Богемская рапсодия;2018;8.0;Великобритания, США;биография, музыка, драма;Брайан Сингер
Воображариум доктора Парнаса;2009;7.0;Великобритания, Франция, Канада;фэнтези, приключения, комедия, детектив;Терри Гиллиам
Flashback;2021;7.2;Франция;фантастика, комедия;Каролин Виньо
Невероятный мир глазами Энцо;2019;8.1;США;драма, мелодрама, комедия, спорт, семейный;Саймон Кёртис
Кролик Джоджо;2019;7.9;Новая Зеландия, Чехия, США;комедия, военный, история, драма;Тайка Вайтити
Враг государства;1998;7.8;США;боевик, триллер;Тони Скотт
Миньоны: Грювитация;2022;7.2;США;мультфильм, фантастика, комедия, криминал, приключения, семейный;Кайл Балда, Брэд Эблесон, Джонатан дель Валь
Великий Гэтсби;2013;7.9;Австралия, США;драма, мелодрама;Баз Лурман
Бумер;2003;7.0;Россия;драма, криминал;Пётр Буслов
Смерть на Ниле;1978;7.6;Великобритания;драма, криминал, детектив;Джон Гиллермин
Страх и ненависть в Лас-Вегасе;1998;7.6;США;драма, комедия;Терри Гиллиам
Выживут только любовники;2013;7.4;Великобритания, Германия, Греция, Франция;фэнтези, триллер, драма;Джим Джармуш
Монстры на каникулах;2012;7.6;США;мультфильм, фэнтези, комедия, семейный;Генндий Тартаковский
Чудо-женщина: 1984;2020;6.1;США, Великобритания, Испания;фэнтези, боевик, приключения, фантастика;Пэтти Дженкинс
Аллея кошмаров;2021;7.1;США, Мексика, Канада;триллер, драма, криминал;Гильермо дель Торо
Мстители;2012;7.9;США;фантастика, боевик, фэнтези, приключения;Джосс Уидон
Код Да Винчи;2006;7.3;США, Мальта, Франция, Великобритания;триллер, детектив;Рон Ховард
Ворон;1994;7.9;США;фэнтези, боевик, драма;Алекс Пройас
Зависнуть в Палм-Спрингс;2020;7.3;США, Гонконг;комедия, мелодрама, фантастика;Макс Барбаков
Огонь;2020;7.7;Россия;драма, боевик;Алексей Нужный
Мне бы в небо;2009;7.3;США;драма, мелодрама, комедия;Джейсон Райтман
Призрачная шестёрка;2019;6.1;США;боевик;Майкл Бэй
Легенда;2015;7.2;Великобритания, Франция, США;криминал, триллер, драма;Брайан Хелгеленд
Вторая жизнь Уве;2015;8.0;Швеция;драма, мелодрама, комедия;Ханнес Холм
Виновный;2021;6.5;США;триллер, криминал;Антуан Фукуа
Девушка в поезде;2016;6.6;США;триллер, детектив, драма, криминал;Тейт Тейлор
Хранители;2009;7.6;США;фантастика, боевик, драма, детектив;Зак Снайдер
Дедушка легкого поведения;2015;6.1;США, Великобритания;комедия;Дэн Мазер
Иллюзия обмана;2013;7.7;США, Франция;криминал, триллер, детектив;Луи Летерье
Звездная пыль;2007;7.7;Великобритания, США;фэнтези, мелодрама, приключения, семейный;Мэттью Вон
Унесённые ветром;1939;8.4;США;мелодрама, история, драма, военный;Виктор Флеминг, Джордж Кьюкор, Сэм Вуд
Соник в кино;2020;6.6;США, Япония, Канада;боевик, комедия, фантастика, приключения;Джефф Фаулер
В центре внимания;2015;7.5;США;драма, криминал, биография;Том Маккарти
Веном;2018;6.9;США, Китай;фантастика, боевик, триллер, ужасы;Рубен Фляйшер
Семейство Белье;2014;7.2;Франция, Бельгия;драма, комедия, музыка;Эрик Лартиго
Мавка. Лесная песня;2022;7.2;Украина;мультфильм, фэнтези, комедия;Александра Рубан, Олег Маламуж
Шрэк 5;2022;7.2;США;мультфильм, фэнтези, комедия, приключения, семейный;
Убить Билла;2003;7.6;США, Япония;боевик, триллер, драма, криминал;Квентин Тарантино
Лука;2021;7.8;США;мультфильм, фэнтези, комедия, приключения, семейный;Энрико Касароса
Королевская битва;2000;7.5;Япония;боевик, триллер, фантастика, драма;Киндзи Фукасаку
Пятьдесят оттенков свободы;2018;5.4;США;триллер, драма, мелодрама;Джеймс Фоули
Рассвет мертвецов;2004;7.3;США, Канада, Япония, Франция;ужасы, боевик;Зак Снайдер
Меч дракона;2015;6.6;Китай, Гонконг;фэнтези, боевик, драма, история;Дэниэл Ли
Достать ножи;2019;8.0;США;детектив, комедия, драма, криминал;Райан Джонсон
Гонка со временем;2021;5.4;США;триллер;Филлип Нойс
Никто;2021;7.4;США, Япония;боевик, триллер, криминал;Илья Найшуллер
Ключ от всех дверей;2005;7.4;США, Германия;ужасы, триллер, драма, детектив;Иэн Софтли
Легенда о волках;2020;8.2;Ирландия, Люксембург, Франция, США, Великобритания;мультфильм, фэнтези, приключения, семейный;Томм Мур, Росс Стюарт
Матрица;1999;8.5;США, Австралия;фантастика, боевик;Лана Вачовски, Лилли Вачовски
В тихом омуте;2019;6.8;США;триллер, криминал, детектив, драма;Адам Рэндолл
Падение Луны;2022;5.4;США, Китай, Канада;фантастика, боевик;Роланд Эммерих
King’s Man: Начало;2021;5.9;Великобритания, США;боевик, триллер, приключения;Мэттью Вон
Доктор Стрэндж;2016;7.5;США;фантастика, фэнтези, боевик, приключения;Скотт Дерриксон
Месть от кутюр;2015;7.3;Австралия;драма, комедия;Джослин Мурхаус
Моана;2016;7.7;США;мультфильм, мюзикл, фэнтези, комедия, приключения, семейный;Рон Клементс, Джон Маскер, Дон Холл
Джек Ричер;2012;7.2;США;боевик, триллер, детектив, криминал;Кристофер МакКуорри
Алиса в Стране чудес;2010;7.1;США, Великобритания;фэнтези, детектив, приключения, семейный;Тим Бёртон
Манк;2020;7.1;США;биография, драма;Дэвид Финчер
Охотники за разумом;2004;7.5;США, Великобритания, Нидерланды, Финляндия;ужасы, триллер, криминал;Ренни Харлин
Звёздные войны: Эпизод 4 — Новая надежда;1977;8.1;США, Великобритания;фантастика, боевик, фэнтези, приключения;Джордж Лукас
Безумное кино для взрослых;2021;6.0;Румыния, Люксембург, Чехия, Хорватия, Швейцария, Великобритания;драма, комедия;Раду Жуде
Король Англии;2019;7.1;Великобритания, Венгрия, США, Австралия;биография, драма, военный, история;Дэвид Мишо
CODA: Ребенок глухих родителей;2020;8.0;Франция, Канада, США;драма, комедия, музыка;Шан Хейдер
Армия мертвецов;2021;5.9;США;ужасы, драма, боевик;Зак Снайдер
Золушка и тайна волшебного камня;2021;7.2;США;мультфильм;Элис Блехарт
Бёрдмэн;2014;7.6;США;драма, комедия;Алехандро Гонсалес Иньярриту
Зверопой 2;2021;8.0;США, Япония;мультфильм, мюзикл, комедия, приключения, семейный;Гарт Дженнингс
Рыцари справедливости;2020;7.4;Дания, Швеция, Финляндия;драма, комедия, боевик, криминал;Андерс Томас Йенсен
Люди Икс: Начало. Росомаха;2009;7.4;США, Великобритания;фантастика, боевик;Гэвин Худ
Голодные игры;2012;7.3;США;фантастика, боевик, триллер, приключения;Гэри Росс
Шрэк 2;2004;7.7;США;мультфильм, фэнтези, мелодрама, комедия, приключения, семейный;Эндрю Адамсон, Келли Эсбёри, Конрад Вернон
Пролетая над гнездом кукушки;1975;8.5;США;драма;Милош Форман
Дождливый день в Нью-Йорке;2019;7.2;США;мелодрама, комедия;Вуди Аллен
Особое мнение;2002;7.7;США;фантастика, боевик, триллер, криминал, детектив;Стивен Спилберг
Гарри Поттер 20 лет спустя: Возвращение в Хогвартс;2022;8.1;Великобритания, США;документальный, семейный;Кэйси Паттерсон, Джо Перлман, Эрен Криви
С широко закрытыми глазами;1999;7.5;США, Великобритания;триллер, драма, детектив;Стэнли Кубрик
Гарри Поттер и Дары Смерти: Часть I;2010;7.9;Великобритания, США;фэнтези, приключения;Дэвид Йейтс
Поезд в Пусан;2016;7.1;Корея Южная;ужасы, боевик;Ён Сан-хо
Кто-нибудь видел мою девчонку?;2020;6.6;Россия;драма;Ангелина Никонова
Трансфигурация;2016;5.6;США;ужасы, драма;Майкл О’Ши
Король Артур;2004;7.1;США, Великобритания, Ирландия;боевик, драма, приключения, военный, история;Антуан Фукуа
Кровавый алмаз;2006;7.8;США, Германия;триллер, драма, приключения;Эдвард Цвик
Маска;1994;8.0;США;комедия, фэнтези, криминал;Чак Рассел
Последний богатырь: Посланник Тьмы;2021;6.6;Россия;приключения, комедия, фэнтези;Дмитрий Дьяченко
Четыре комнаты;1995;7.7;США;комедия;Эллисон Андерс, Александр Рокуэлл, Роберт Родригес
Между небом и землей;2005;7.6;США;фэнтези, драма, мелодрама, комедия;Марк Уотерс
Волшебный дракон;2021;7.5;Китай, США, Гонконг;мультфильм, фэнтези, мелодрама, комедия, приключения, семейный;Крис Аппельханс
мама!;2017;7.1;США;ужасы, драма, триллер;Даррен Аронофски
Назад в будущее;1985;8.6;США;фантастика, комедия, приключения;Роберт Земекис
Под покровом ночи;2016;7.3;США;триллер, драма;Том Форд
Властелин колец: Возвращение короля;2003;8.6;Новая Зеландия, США;фэнтези, приключения, драма;Питер Джексон
Агенты А.Н.К.Л.;2015;7.5;США, Великобритания;боевик, комедия, приключения;Гай Ричи
Куда приводят мечты;1998;7.9;США, Новая Зеландия;фэнтези, драма, мелодрама;Винсент Уорд
Геошторм;2017;5.8;США;фантастика, боевик, триллер;Дин Девлин
Опасная игра Слоун;2016;7.7;США, Франция;драма, криминал;Джон Мэдден
Обитель зла: Раккун-Сити;2021;5.4;Канада, Германия;ужасы, боевик, фантастика;Йоханнес Робертс
Наркокурьер;2018;7.2;США, Канада;триллер, драма, криминал;Клинт Иствуд
Армагеддон;1998;7.8;США;фантастика, приключения, боевик, триллер;Майкл Бэй
Гонка;2013;8.1;Великобритания, Германия, США;спорт, драма, биография;Рон Ховард
Бэтмен против Супермена: На заре справедливости;2016;6.8;США;фантастика, боевик, фэнтези, приключения;Зак Снайдер
Новый Человек-паук;2012;6.9;США;фантастика, боевик, приключения;Марк Уэбб
Форсаж 9;2021;5.6;США;боевик, криминал, приключения;Джастин Лин
Карты, деньги, два ствола;1998;8.6;Великобритания;боевик, комедия, криминал;Гай Ричи
Меч короля Артура;2017;7.2;Великобритания, США, Австралия;фэнтези, боевик, драма, приключения;Гай Ричи
Отступники;2006;8.5;США, Гонконг;триллер, драма, криминал;Мартин Скорсезе
Злое;2021;6.3;США;ужасы, детектив;Джеймс Ван
Песнь моря;2014;8.1;Ирландия, Дания, Бельгия, Франция;мультфильм, фэнтези, драма, приключения, семейный;Томм Мур
Отель «Гранд Будапешт»;2014;7.9;США, Германия;комедия, приключения, детектив, криминал;Уэс Андерсон
Другие;2001;7.9;Испания, США, Франция, Италия;ужасы, триллер, детектив;Алехандро Аменабар
Хинтерленд: город грехов;2021;6.3;Австрия, Люксембург;детектив, триллер, драма;Штефан Рузовицки
Казино;1995;8.1;США, Франция;драма, криминал;Мартин Скорсезе
Сайлент Хилл;2006;7.2;Канада, Франция, Япония, США;ужасы, детектив;Кристоф Ганс
Эквилибриум;2002;7.9;США;фантастика, боевик, триллер, драма;Курт Уиммер
Орел и решка. Кино;2022;4.7;Россия;комедия, приключения;Вазген Каграманян
Битва за Севастополь;2015;7.6;Россия, Украина;военный, биография, драма, история, боевик;Сергей Мокрицкий
Время;2011;7.3;США;фантастика, мелодрама, боевик;Эндрю Никкол
Фантастические твари: Преступления Грин-де-Вальда;2018;6.7;Великобритания, США;фэнтези, приключения, семейный;Дэвид Йейтс
Жизнь других;2006;8.1;Германия, Франция;триллер, драма, детектив;Флориан Хенкель фон Доннерсмарк
Код 8;2019;6.2;Канада;фантастика, боевик, криминал;Джефф Чан
Поменяться местами;1983;7.7;США;комедия;Джон Лэндис
Виноваты звезды;2014;7.8;США;драма, мелодрама;Джош Бун
Малхолланд Драйв;2001;7.7;США, Франция;триллер, драма, детектив;Дэвид Линч
Ветер крепчает;2013;7.9;Япония;аниме, мультфильм, драма, биография, история;Хаяо Миядзаки
В погоне за счастьем;2006;8.3;США;драма, биография;Габриэле Муччино
Ледяной драйв;2021;6.9;США, Канада;боевик, триллер;Джонатан Хенсли
Я краснею;2022;7.1;США;мультфильм, фэнтези, комедия, приключения, семейный;Доми Ши
Изобретение лжи;2009;6.7;США;фэнтези, драма, мелодрама, комедия;Рики Джервэйс, Мэттью Робинсон
Враг;2013;6.6;Канада, Испания;триллер, драма, детектив;Дени Вильнёв
Кто твоя бабушка, чувак?;2019;5.7;Франция, Бельгия;комедия;Габриэль Жюльен-Лаферье
Игра;1997;8.3;США;триллер, драма, детектив, приключения;Дэвид Финчер
Игра на понижение;2015;7.3;США;драма, комедия, биография, история;Адам МакКей
Семь жизней;2008;8.2;США;драма, мелодрама;Габриэле Муччино
Жмурки;2005;7.2;Россия;триллер, комедия, криминал;Алексей Балабанов
Кролецып и Хомяк Тьмы;2022;6.8;Бельгия, Франция;мультфильм, мелодрама, комедия, приключения, семейный;Бен Стассен, Бенжамен Муске
Зверопой;2016;7.3;Франция, Япония, США;мультфильм, мюзикл, комедия, семейный;Гарт Дженнингс, Кристоф Лурделе
Кроваво-красное небо;2021;6.2;Германия, США;ужасы, триллер, боевик;Петер Торварт
Свежатинка;2022;6.5;США;триллер, комедия, ужасы;Мими Кейв
Невероятная жизнь Уолтера Митти;2013;7.7;США, Великобритания;комедия, приключения, фэнтези, драма, мелодрама;Бен Стиллер
Ветреная река;2016;7.5;Великобритания, Канада, США;детектив, криминал, триллер;Тейлор Шеридан
Кунг-фу Панда;2008;7.8;США, Китай;мультфильм, фэнтези, боевик, драма, комедия, приключения, семейный;Марк Осборн, Джон Стивенсон
Правила съема: Метод Хитча;2005;7.8;США;мелодрама, комедия;Энди Теннант
Социальная сеть;2010;7.7;США;драма, биография;Дэвид Финчер
После. Глава 3;2021;5.3;США, Болгария;драма, мелодрама;Кастиль Лэндон
Достучаться до небес;1997;8.6;Германия;драма, комедия, криминал;Томас Ян
Гарри Поттер и узник Азкабана;2004;8.2;Великобритания, США;фэнтези, приключения, семейный;Альфонсо Куарон
Машинист;2003;7.6;Испания, Франция, Великобритания, США;триллер, драма;Брэд Андерсон
Человек-паук 3: Враг в отражении;2007;7.1;США;фантастика, боевик, приключения;Сэм Рэйми
Она;2013;7.6;США;мелодрама, фантастика, драма;Спайк Джонс
Расплата;2016;7.4;США;боевик, триллер, драма, криминал;Гэвин О’Коннор
Кот в сапогах 2: Последнее желание;2022;7.2;США;мультфильм, комедия, приключения;Джоэль Кроуфорд, Хануэль Меркадо
Грейхаунд;2020;7.0;США, Китай, Канада;военный, боевик, история;Аарон Шнайдер
Человек с Земли;2007;7.8;США;фантастика, драма;Ричард Шенкман
Человек-паук: Вдали от дома;2019;7.3;США;фантастика, боевик, приключения;Джон Уоттс
Энканто;2021;7.5;США;мультфильм, мюзикл, фэнтези, комедия, семейный;Джаред Буш, Байрон Ховард, Чариз Кастро Смит
Шкаф;2020;5.8;Корея Южная;ужасы;Ким Гван-бин
Из моего окна;2022;6.1;Испания;драма, мелодрама, комедия;Марсаль Форес
Человек-паук 2;2004;7.3;США;фантастика, боевик, приключения;Сэм Рэйми
Каникулы;2015;6.5;США;комедия, приключения;Джон Фрэнсис Дейли, Джонатан М. Голдштейн
Ловушка времени;2017;6.7;США;фантастика, боевик, детектив, приключения;Марк Деннис, Бен Фостер
Гарри Поттер и Кубок огня;2005;7.9;Великобритания, США;фэнтези, приключения, семейный;Майк Ньюэлл
Великий уравнитель;2014;7.0;США;боевик, триллер, криминал;Антуан Фукуа
Гарри Поттер и философский камень;2001;8.2;Великобритания, США;фэнтези, приключения, семейный;Крис Коламбус
Судья;2014;7.9;США;драма;Дэвид Добкин
Сияние;1980;7.8;США, Великобритания;триллер, драма, ужасы, детектив;Стэнли Кубрик
Головоломка;2015;8.0;США;мультфильм, семейный, комедия;Пит Доктер, Роналдо Дель Кармен
Пятый элемент;1997;8.1;Франция, Великобритания, США;фантастика, боевик, комедия, мелодрама;Люк Бессон
Час истины;2020;6.5;США;триллер, криминал, детектив;Питер Фачинелли
Бегущий по лезвию 2049;2017;7.7;США, Великобритания, Канада, Венгрия, Испания, Мексика;фантастика, боевик, триллер, драма, детектив;Дени Вильнёв
Осада;2021;4.3;Канада, США;боевик, триллер;Эдвард Дрэйк
Тайная одержимость;2019;5.3;США;триллер;Питер Салливан
Фантастические твари: Тайны Дамблдора;2022;6.2;Великобритания, США;фэнтези, приключения, семейный;Дэвид Йейтс
Лучшее предложение;2012;8.0;Италия;триллер, драма, криминал;Джузеппе Торнаторе
Поезд в Пусан 2: Полуостров;2020;5.5;Корея Южная;ужасы, боевик;Ён Сан-хо
Пробуждение;1990;8.4;США;драма, биография;Пенни Маршалл
Не оглядывайся;2009;6.4;Франция, Италия, Люксембург, Бельгия;триллер, драма;Марина де Ван
Вики Кристина Барселона;2008;7.2;Испания, США;драма, мелодрама, комедия;Вуди Аллен
Джокер;2019;8.0;США, Канада;драма, криминал, триллер;Тодд Филлипс
Вивариум;2019;6.1;Ирландия, Бельгия, Дания;фантастика, драма;Лоркан Финнеган
Флирт с дьяволом;2021;5.2;США, Германия, Швейцария;триллер;Луис Прието
Прислуга;2011;8.2;США;драма;Тейт Тейлор
Гнев человеческий;2021;7.6;Великобритания, США;боевик, триллер;Гай Ричи
Зеленая миля;1999;9.1;США;драма, криминал;Фрэнк Дарабонт
Финч;2021;7.2;США;фантастика, драма;Мигель Сапочник
Эта дурацкая любовь;2011;7.6;США;мелодрама, комедия;Гленн Фикарра, Джон Рекуа
Муви 43;2013;5.0;США;комедия;Стивен Брилл, Питер Фаррелли, Элизабет Бэнкс
Убойные каникулы;2010;7.6;Канада;ужасы, комедия;Илай Крэйг
Анчартед: На картах не значится;2022;7.0;США, Испания;боевик, приключения;Рубен Фляйшер
Семь психопатов;2012;7.3;Великобритания, США;комедия, криминал;Мартин МакДона
Экипаж;2016;7.6;Россия;драма, триллер, приключения;Николай Лебедев
Мортал Комбат;2021;6.2;США;боевик, фэнтези, фантастика;Саймон Маккуойд
Родители строгого режима;2022;7.2;Россия;комедия;Никита Владимиров
Банкир;2019;7.2;США;биография, драма;Джордж Нолфи
Маяк;2019;7.1;Канада, США, Бразилия;ужасы, фэнтези, драма;Роберт Эггерс
Вселенная Стивена Хокинга;2014;7.9;Великобритания, Япония;биография, мелодрама, драма;Джеймс Марш
Плохие парни;1995;7.7;США;боевик, комедия, триллер, криминал;Майкл Бэй
Ампир V;2022;7.2;Россия;фэнтези, драма;Виктор Гинзбург
Центурион;2009;6.6;Великобритания, Франция, США;боевик, триллер, драма, приключения, военный, история;Нил Маршалл
Дом Gucci;2021;7.1;США, Канада;биография, драма, криминал, триллер;Ридли Скотт
Престиж;2006;8.5;Великобритания, США;триллер, фантастика, драма, детектив;Кристофер Нолан
Дэдпул 2;2018;7.4;США, Канада;фантастика, боевик, комедия, приключения;Дэвид Литч
Простая просьба;2018;6.8;США, Канада;триллер, комедия, криминал, детектив;Пол Фиг
Рок-н-рольщик;2008;7.8;Великобритания, США;криминал, боевик, триллер;Гай Ричи
Доктор Свисток;2022;1.5;Россия;комедия;Ара Оганесян
Пылающее море;2021;6.7;Норвегия;боевик, триллер;Йон Андреас Андерсен
Те, кто желает мне смерти;2021;5.9;Канада, США;боевик, триллер, драма, криминал;Тейлор Шеридан
Не смотрите наверх;2021;7.5;США;драма, фантастика, комедия;Адам МакКей
Идиократия;2005;6.6;США;фантастика, комедия, приключения;Майк Джадж
Останься;2005;7.2;США;триллер, драма, детектив;Марк Форстер
Гордость и предубеждение;2005;8.0;Великобритания, Франция, США;драма, мелодрама;Джо Райт
Однажды в Америке;1983;8.3;Италия, США;драма, криминал;Серджио Леоне
Игра теней;2022;5.2;Китай, Австралия, США;боевик, триллер;Марк Уильямс
Чемпион мира;2021;6.9;Россия;драма;Алексей Сидоров
Основной инстинкт;1992;7.7;США, Франция;триллер, драма, детектив;Пол Верховен
Стекло;2019;6.5;США, Китай;фантастика, триллер, драма;М. Найт Шьямалан
Крестный отец;1972;8.7;США;драма, криминал;Фрэнсис Форд Коппола
Пираты Карибского моря: На странных берегах;2011;7.3;США, Великобритания;приключения, боевик, фэнтези, комедия;Роб Маршалл
Такси;1998;7.9;Франция;боевик, комедия, криминал;Жерар Пирес
Лес;2018;6.5;Россия;драма;Роман Жигалов
Чернобыль: Зона отчуждения. Финал;2019;5.9;Россия;триллер, фантастика;Дмитрий Киселёв
Звёздный разум;2022;4.7;Россия;фантастика, триллер;
Телохранитель жены киллера;2020;6.1;Великобритания, США;боевик, комедия;Патрик Хьюз
Король Ричард;2021;7.6;США;биография, спорт, драма;Рейнальдо Маркус Грин
Охотник на монстров;2020;5.8;США, Китай, Германия, Япония;фэнтези, боевик, приключения;Пол У. С. Андерсон
Двадцать одно;2008;7.7;США;триллер, драма, криминал, история;Роберт Лукетич
Неуязвимый;2000;7.1;США;фантастика, триллер, драма, детектив;М. Найт Шьямалан
До встречи с тобой;2016;7.2;Великобритания, США;драма, мелодрама;Теа Шэррок
Сказки на ночь;2008;6.9;США;фантастика, фэнтези, мелодрама, комедия, приключения, семейный;Адам Шенкман
Укрась прощальное утро цветами обещания;2018;7.9;Япония;аниме, мультфильм, драма, мелодрама, приключения, фэнтези;Мари Окада
Пиджак;2004;7.8;США, Германия;триллер, фантастика, детектив, драма;Джон Мэйбери
Тик-так... БУМ!;2021;7.9;США;мюзикл, драма, биография;Лин-Мануэль Миранда
X;2022;7.2;США;ужасы;Тай Уэст
Родные;2021;6.4;Россия;комедия, драма;Илья Аксенов
Москва слезам не верит;1979;8.4;СССР;мелодрама, драма, комедия;Владимир Меньшов
Звёздные войны: Эпизод 1 — Скрытая угроза;1999;7.9;США;фантастика, фэнтези, боевик, приключения;Джордж Лукас
Искушение;2020;6.5;Франция, Бельгия, Нидерланды;биография, драма, мелодрама, история;Пол Верховен
Ярость;2014;7.4;США, Китай, Великобритания;боевик, драма, военный;Дэвид Эйр
Как приручить дракона;2010;8.2;США;мультфильм, фэнтези, комедия, приключения, семейный;Дин ДеБлуа, Крис Сандерс
Солнцепек;2021;7.2;Россия;драма;Максим Бриус, Михаил Вассербаум
Про уродов и людей;1998;7.1;Россия;драма, комедия, история;Алексей Балабанов
Апокалипсис сегодня;1979;8.1;США;военный, драма, история, боевик;Фрэнсис Форд Коппола
Синистер;2012;6.6;США, Великобритания, Канада;ужасы, триллер, детектив;Скотт Дерриксон
Тихая ночь;2020;6.0;Великобритания;драма, комедия, фантастика;Камилль Гриффин
Вверх;2009;8.0;США;мультфильм, драма, комедия, приключения, семейный;Пит Доктер, Боб Питерсон
Привидение;1990;8.2;США;мелодрама, фэнтези, триллер, драма;Джерри Цукер
Черный ящик;2021;7.6;Франция;триллер, драма, детектив;Ян Гозлан
Дракула;2014;6.6;США, Великобритания, Ирландия;ужасы, фэнтези, боевик, драма;Гари Шор
Карта совершенных мгновений;2021;6.7;США;мелодрама, комедия, фэнтези;Йен Сэмюэлс
Человек, который изменил всё;2011;7.7;США;биография, спорт, драма;Беннетт Миллер
Счастливое число Слевина;2005;8.1;США, Канада, Великобритания, Германия;триллер, драма, криминал;Пол Макгиган
Человек дождя;1988;8.2;США;драма;Барри Левинсон
Эйфель;2021;7.1;Франция, Бельгия, Германия;драма, мелодрама, биография, история;Мартин Бурбулон
Скорая;2022;6.6;США;боевик, триллер, драма, криминал;Майкл Бэй
В западне;2021;5.7;США;триллер;С.К. Дэйл
Звук металла;2019;7.3;США, Бельгия;драма, музыка;Дариус Мардер
Полночь в Париже;2011;7.7;США, Испания;фэнтези, мелодрама, комедия;Вуди Аллен
127 часов;2010;7.7;Великобритания, США, Франция;триллер, биография, драма, приключения;Дэнни Бойл
Трасса 60;2001;8.0;Канада, США;фантастика, фэнтези, драма, комедия, детектив, приключения;Боб Гейл
Джиа (ТВ;1998;7.9;США;драма, мелодрама, биография;Майкл Кристофер
Комната;2015;7.7;Канада, Ирландия, Великобритания, США;триллер, драма;Леонард Абрахамсон
